InvoiceID,CustomerID,TariffID,BillingDate,DueDate,PaymentDate,Consumption_kWh,Amount_EUR,Discount_EUR,PaymentStatus,BillType,ComplaintFlag,PaymentChannel,Notes
INV-10071,C045,DUAL-SAVE,2025-06-09,2025-07-06,,499.5,66.45,0,Overdue,Estimated,No,Bank Transfer,
INV-10072,C060,EL-VAR,2024-02-05,2024-02-29,2024-02-27,1709.9,229.91,0,Paid,Actual,No,Card,
INV-10073,C007,DUAL-SAVE,2025-02-12,2025-03-12,2025-03-07,865.9,109.68,0,Paid,Actual,No,Direct Debit,
INV-10074,C042,EL-GREEN,2024-10-10,2024-11-04,2024-10-28,4029.5,598.24,16.22,Paid,Actual,No,Direct Debit,
INV-10075,C057,EL-GREEN,2024-01-22,2024-02-12,2024-02-05,1017.9,159.71,0,Paid,Actual,No,Web Banking,
INV-10076,C030,EL-FIX12,2025-10-02,2025-10-29,2025-10-27,501,78.14,0,Paid,Actual,No,Web Banking,
INV-10077,C025,DUAL-SAVE,2025-03-01,2025-03-26,2025-03-25,153.9,25.66,0,Paid,Actual,No,Web Banking,
INV-10078,C020,EL-VAR,2024-02-08,2024-03-06,2024-03-02,1009.9 kWh,137.5,0,Paid,Actual,No,Direct Debit,
INV-10079,C054,DUAL-SAVE,2024-10-19,2024-11-18,2024-11-11,5167.7,611.88,5.41,Paid,Estimated,No,Cash,
INV-10080,C030,EL-FIX12,2024-06-23,2024-07-20,2024-07-13,809.5,122.87,0,Paid,Actual,No,Web Banking,
INV-10081,C045,GAS-FIX,2025-09-03,2025-09-30,2025-09-22,394.4,18.11,13.69,Paid,Actual,No,Cash,
INV-10082,C003,EL-VAR,2024-02-02,2024-02-22,,681.4,94.14,0,Overdue,Actual,No,Web Banking,
INV-10083,C038,EL-FIX12,2024-10-09,2024-11-08,2024-11-10,2300.1,339.02,0,Late,Actual,Yes,Cash,
INV-10084,C011,EL-FIX12,2025-04-15,2025-05-05,2025-04-29,444.5,69.95,0,Paid,Actual,No,Card,
INV-10085,C028,DUAL-SAVE,2024-02-14,2024-03-16,2024-03-11,435.9,58.93,0,Paid,Actual,No,Web Banking,
INV-10086,C050,DUAL-SAVE,2025-08-09,2025-09-08,,264.7,36.64,2.1,Overdue,Estimated,No,Bank Transfer,
INV-10087,C028,EL-VAR,2025-01-06,2025-02-05,2025-02-03,431,43.37,17.72,Paid,Estimated,No,Web Banking,
INV-10088,C040,EL-GREEN,2024-12-09,2025-01-04,2024-12-31,1156.9,178.12,2.58,Paid,Actual,No,Card,
INV-10089,C042,EL-FIX12,2025-07-25,2025-08-20,2025-08-30,6574.2,958.76,0,Late,Estimated,No,Bank Transfer,
INV-10090,C024,DUAL-SAVE,2025-06-13,2025-07-14,2025-07-10,861.3,106.79,2.34,Paid,Actual,No,Card,
INV-10091,C059,EL-GREEN,2024-09-12,2024-10-12,2024-10-15,805,127.56,0,Late,Actual,Yes,Direct Debit,
INV-10092,C058,GAS-FIX,2025-05-20,2025-06-18,2025-06-13,170.4,€0.24,15.66,Paid,Estimated,Yes,Direct Debit,
INV-10093,C016,EL-GREEN,2024-01-14,2024-02-10,2024-02-05,814.3,128.96,0,Paid,Estimated,No,Card,
INV-10094,C053,EL-VAR,2025-05-11,2025-06-09,2025-07-01,4254.5,565.79,0,Late,Actual,No,Card,
INV-10095,C010,GAS-FIX,2024-02-21,2024-03-19,,3054.8,220.69,0,Overdue,Estimated,No,Cash,
INV-10096,C022,DUAL-SAVE,2025-05-07,2025-06-06,2025-07-03,1756.4,214.76,0,Late,Actual,No,Web Banking,
INV-10097,C046,DUAL-SAVE,2024-07-07,2024-08-05,2024-08-05,248.3,36.8,0,Paid,Estimated,No,Direct Debit,
INV-10098,C058,GAS-FIX,2024-01-06,2024-01-31,2024-01-28,764.8,58.1,0,Paid,Actual,Yes,Card,
INV-10099,C013,DUAL-SAVE,2024-12-08,2025-01-01,2024-12-31,699,89.98,0,Paid,Actual,No,Direct Debit,
INV-10100,C016,EL-GREEN,2024-08-18,2024-09-12,2024-10-09,774.7,122.98,0,Late,Estimated,No,Card,
INV-10101,C008,EL-FIX12,2025-04-14,2025-05-09,2025-05-06,332.4,53.7,0,Paid,Actual,No,Card,
INV-10102,C053,EL-VAR,2024-11-14,2024-12-14,2024-12-11,4618.7,613.86,0,Paid,Actual,No,Bank Transfer,
INV-10103,C028,EL-FIX12,2024-12-21,2025-01-20,2025-01-13,525.2,81.66,0,Paid,Actual,No,Web Banking,
INV-10104,C035,DUAL-SAVE,2024-01-24,2024-02-21,2024-02-17,2546.9,299.93,8.11,Paid,Actual,No,Bank Transfer,
INV-10105,C030,GAS-VAR,2024-05-07,2024-06-03,2024-06-21,511.4,36.85,0,Late,Actual,No,Bank Transfer,
INV-10106,C050,GAS-VAR,2025-08-19,2025-09-10,2025-09-09,114.1,10.63,0,Paid,Estimated,No,Card,
INV-10107,C002,EL-VAR,2025-12-04,2026-01-04,,981.7,"133,78",0,Pending,Actual,No,Card,
INV-10108,C027,EL-FIX12,2025-01-23,2025-02-21,2025-02-14,1383.6,188.38,17.74,Paid,Estimated,Yes,Direct Debit,
INV-10109,C020,GAS-VAR,2024-08-24,2024-09-23,2024-09-16,426,31.21,0,Paid,Estimated,No,Bank Transfer,
INV-10110,C013,EL-FIX12,2025-03-10,2025-04-09,2025-05-10,592,91.35,0,Late,Estimated,No,Web Banking,
INV-10111,C038,DUAL-SAVE,2024-12-25,2025-01-17,2025-01-11,689,74.08,14.73,Paid,Actual,No,Cash,
INV-10112,C057,EL-VAR,2025-03-08,2025-03-29,2025-05-02,1106.9,141.51,8.8,Late,Actual,No,Web Banking,
INV-10113,C054,EL-VAR,2025-10-12,2025-11-09,2025-11-05,3363,448.12,0,Paid,Actual,No,Bank Transfer,
INV-10114,C035,EL-FIX12,2025-12-17,2026-01-10,2026-01-07,1119.9,167.88,0,Paid,Actual,No,Web Banking,
INV-10115,C059,GAS-VAR,2025-06-13,2025-07-04,2025-07-31,329.1,24.82,0,Late,Actual,No,Direct Debit,
INV-10116,C024,EL-FIX12,2025-08-17,2025-09-11,2025-09-21,677.2,103.69,0,Late,Actual,No,Web Banking,
INV-10117,C045,GAS-FIX,2024-01-13,2024-02-11,2024-02-06,1434.6,105.66,0,Paid,Actual,No,Card,
INV-10118,C041,EL-GREEN,2025-07-07,2025-08-05,2025-07-28,1685.3,260.49,0,Paid,Actual,Yes,Web Banking,
INV-10119,C035,DUAL-SAVE,2025-09-01,2025-09-26,2025-09-23,1749.4,199.25,14.68,Paid,Estimated,No,Cash,
INV-10120,C043,EL-GREEN,2024-12-25,2025-01-24,2025-01-20,1417.9,220.1,0,Paid,Actual,No,Card,
INV-10121,C003,EL-VAR,2024-03-13,2024-04-09,,470.1,61.37,4.89,Overdue,Actual,No,Card,
INV-10122,C027,DUAL-SAVE,2025-11-18,2025-12-13,2026-01-13,1450.3,178.63,0,Late,Actual,No,Bank Transfer,
INV-10123,C001,GAS-VAR,2025-07-25,2025-08-16,2025-08-12,2012,135.89,N/A,Paid,Actual,No,Direct Debit,
INV-10124,C025,EL-GREEN,2024-09-01,2024-09-23,2024-09-22,527.7,85.68,0,Paid,Estimated,No,Direct Debit,
INV-10125,C038,GAS-VAR,2024-04-18,2024-05-08,2024-05-01,818.2,57.1,0,Paid,Estimated,No,Card,
INV-10126,C051,GAS-VAR,2024-06-22,2024-07-12,,104.4,9.99,0,Overdue,Actual,No,Web Banking,
INV-10127,C057,EL-VAR,2025-02-25,2025-03-18,2025-03-12,1084.1,147.31,0,Paid,Estimated,No,Direct Debit,
INV-10128,C015,EL-GREEN,2024-10-22,2024-11-20,,799.5,126.73,0,Overdue,Actual,No,Direct Debit,
INV-10129,C027,EL-GREEN,2024-11-03,2024-12-02,2024-12-01,1979.7,304.94,0,Paid,Estimated,No,Bank Transfer,
INV-10130,C029,GAS-FIX,2024-01-08,2024-01-28,2024-01-24,7905.8,565.12,0,Paid,Actual,No,Direct Debit,
INV-10131,C059,EL-FIX12,2024-09-02,2024-09-27,2024-09-24,1256.3,179.4,8.26,Paid,Actual,No,Direct Debit,
INV-10132,C056,EL-GREEN,2025-11-18,2025-12-19,2025-12-15,691.8,110.47,0,Paid,Actual,No,Web Banking,
INV-10133,C057,EL-GREEN,2024-04-04,2024-04-28,2024-04-28,1303.4,185.08,17.73,Paid,Estimated,No,Direct Debit,
INV-10134,C028,GAS-FIX,2024-01-22,2024-02-18,2024-02-12,294,24.67,0,Paid,Actual,No,Cash,
INV-10135,C054,EL-GREEN,2025-07-19,2025-08-13,2025-08-05,6648.7,1009.95,0,Paid,Estimated,No,Cash,
INV-10136,C001,EL-VAR,2024-09-08,2024-09-29,2024-09-24,5481.1,727.7,0,Paid,Actual,No,Card,
INV-10137,C018,EL-FIX12,2024-10-21,2024-11-21,2024-11-13,6184.5,885.33,16.92,Paid,Actual,Yes,Card,
INV-10138,C051,GAS-FIX,2024-05-20,2024-06-17,2024-06-15,324.3,26.82,0,Paid,Actual,No,Direct Debit,
INV-10139,C015,DUAL-SAVE,2025-05-11,2025-06-06,,1209.7,150.24,0,Overdue,Actual,No,Cash,
INV-10140,C010,EL-GREEN,2024-08-21,2024-09-16,2024-09-17,1013.4,159.03,0,paid,Actual,Yes,Bank Transfer,
INV-10141,C058,EL-GREEN,2024-07-20,2024-08-17,,228.6,38.02,2.49,Overdue,Actual,No,Cash,
INV-10142,C004,DUAL-SAVE,2025-11-08,2025-12-05,2025-11-29,1030.4,129.09,0,Paid,Actual,No,Card,
INV-10143,C030,EL-GREEN,2024-01-05,2024-02-03,2024-02-25,785.7,124.65,0,Late,Actual,No,Direct Debit,
INV-10144,C008,EL-FIX12,2025-05-23,2025-06-14,2025-06-09,152.1,20.74,6.82,Paid,Actual,No,Bank Transfer,
INV-10145,C023,GAS-VAR,2025-05-18,2025-06-12,2025-06-08,903.3,62.72,0,Paid,Estimated,No,Card,
INV-10146,C031,GAS-VAR,2025-08-19,2025-09-08,2025-09-02,638.5,45.24,0,Paid,Actual,No,Direct Debit,
INV-10147,C054,DUAL-SAVE,2025-11-19,2025-12-19,2026-01-18,3292.9,396.07,0,Late,Actual,No,Bank Transfer,
INV-10148,C051,GAS-VAR,2024-01-20,2024-02-20,2024-02-16,489.9,35.43,0,Paid,Actual,No,Web Banking,
INV-10149,C009,GAS-VAR,2025-12-06,2025-12-30,2025-12-24,1262.6,77.58,8.85,Paid,Actual,No,Direct Debit,
INV-10150,C019,GAS-VAR,2025-01-11,2025-02-06,2025-02-11,7350,488.2,0,Late,Actual,No,Bank Transfer,
INV-10151,C060,EL-FIX12,2024-09-07,2024-09-29,2024-09-26,1820.2,269.43,0,Paid,Actual,No,Web Banking,
INV-10152,C041,GAS-VAR,2024-05-25,2024-06-19,,1373.4,93.74,0,Overdue,Actual,No,Web Banking,
INV-10153,C020,GAS-FIX,2024-02-22,2024-03-23,2024-03-21,2613.2,189.34,0,Paid,Actual,No,Direct Debit,
INV-10154,C005,EL-GREEN,2025-07-20,2025-08-09,2025-08-02,702.6,103.27,8.82,Paid,Estimated,No,Bank Transfer,
INV-10155,C012,GAS-VAR,2024-06-10,2024-07-06,2024-06-30,148.7,12.91,0,Paid,Actual,No,Bank Transfer,
INV-10156,C051,GAS-FIX,2024-04-25,2024-05-22,2024-05-14,243.9,21.12,0,OVERDUE,Estimated,No,Cash,
INV-10157,C009,GAS-FIX,2025-06-15,2025-07-15,2025-08-02,298.4,24.98,0,Late,Actual,No,Direct Debit,
INV-10158,C041,GAS-FIX,2024-03-19,2024-04-08,,1086.3,80.93,0,Overdue,Actual,No,Cash,
INV-10159,C041,EL-VAR,2025-07-23,2025-08-14,2025-09-13,1445.6,176.63,18.39,Late,Actual,No,Cash,
INV-10160,C018,GAS-VAR,2024-01-07,2024-02-04,2024-01-28,7592.9,504.23,0,Paid,Actual,No,Direct Debit,
INV-10161,C059,GAS-FIX,2024-01-24,2024-02-22,,1168.8,86.79,0,Pending,Actual,No,Web Banking,
INV-10162,C037,GAS-VAR,2024-07-03,2024-07-26,,140.4,12.37,0,Overdue,Estimated,No,Bank Transfer,
INV-10163,C024,GAS-VAR,2024-03-08,2024-03-31,,535.1,38.41,0,Overdue,Actual,No,Direct Debit,
INV-10164,C031,GAS-VAR,2025-05-13,2025-06-09,2025-06-05,1551.2,105.48,0,Paid,Actual,No,Card,
INV-10165,C051,DUAL-SAVE,2025-10-21,2025-11-13,,441.3,41.53,18.04,Pending,Actual,No,Bank Transfer,
INV-10166,C022,EL-GREEN,2024-07-12,2024-08-08,2024-09-08,1674.8,258.9,0,Late,Actual,Yes,Cash,
INV-10167,C044,EL-FIX12,2024-07-14,2024-08-08,,817.1,123.97,0,Overdue,Actual,Yes,Card,
INV-10168,C052,EL-GREEN,2024-09-19,2024-10-11,2024-10-23,739.6,117.68,0,Late,Estimated,No,Cash,
INV-10169,C056,EL-FIX12,2025-07-10,2025-08-08,,575.3,88.92,0,Overdue,Actual,No,Web Banking,
INV-10170,C018,EL-FIX12,2025-05-05,2025-05-29,2025-07-02,4389.5,622.04,19.94,Late,Estimated,No,Direct Debit,
INV-10171,C006,EL-VAR,2024-03-16,2024-04-10,2024-04-02,164.8,18.86,7.1,Paid,Actual,No,Cash,
INV-10172,c036,GAS-FIX,2025-03-20,2025-04-18,2025-04-10,5076.4,364.23,0,Paid,Actual,Yes,Card,
INV-10173,C039,GAS-VAR,2024-01-05,2024-01-29,2024-01-24,8437.6,559.98,0,Paid,Actual,No,Direct Debit,
INV-10174,C011,EL-GREEN,2024-10-25,2024-11-18,2024-11-18,419.4,69.32,0,Paid,Actual,No,Bank Transfer,
INV-10175,C017,GAS-VAR,2024-04-23,2024-05-14,2024-05-07,1122.4,60.16,17.02,Paid,Actual,No,Bank Transfer,
INV-10176,C027,DUAL-SAVE,2025-01-08,2025-01-29,2025-01-25,2540.2,307.24,0,Paid,Actual,No,Bank Transfer,
INV-10177,C049,DUAL-SAVE,2024-02-08,2024-03-04,2024-03-16,1667.6,204.28,0,Late,Estimated,No,Card,
INV-10178,C037,DUAL-SAVE,2024-06-17,2024-07-12,2024-07-09,630.1,81.85,0,Paid,Actual,No,Cash,
INV-10179,C049,EL-FIX12,2025-12-22,2026-01-11,2026-01-07,1308.3,182.73,12.48,Paid,Actual,No,Direct Debit,
INV-10180,C037,EL-VAR,2024-05-11,2024-05-31,2024-05-27,247.7,36.89,0,Paid,Actual,No,Bank Transfer,
INV-10181,C005,GAS-FIX,2025-03-08,2025-04-07,2025-03-31,383.7,31.04,0,Paid,Estimated,No,Web Banking,
INV-10182,C059,EL-GREEN,2024-12-23,2025-01-22,2025-01-14,1119.6,175.05,0,Paid,Actual,No,Card,
INV-10183,C023,GAS-VAR,2024-06-24,2024-07-21,2024-08-07,576,23,18.11,Late,Actual,No,Direct Debit,
INV-10184,C053,EL-FIX12,2025-12-23,2026-01-19,2026-01-17,5154.5,752.9,0,Paid,Estimated,No,Bank Transfer,
INV-10185,C052,EL-VAR,2025-12-19,2026-01-17,,711.1,98.07,0,Overdue,Actual,No,Direct Debit,
INV-10186,C043,GAS-VAR,2025-10-23,2025-11-22,,862.2,48.78,11.22,Overdue,Actual,No,Web Banking,
INV-10187,C050,GAS-FIX,2024-03-09,2024-04-06,2024-05-09,178.8,16.5,0,Late,Actual,No,Web Banking,
INV-10188,C056,GAS-FIX,2024-08-01,2024-08-23,2024-08-17,187.1,17.09,0,Paid,Actual,No,Web Banking,
INV-10189,C014, EL-GREEN ,2025-07-08,2025-08-05,2025-08-01,979.7,153.94,0,Paid,Actual,No,Bank Transfer,
INV-10190,C027,EL-FIX12,2025-09-21,2025-10-15,2025-10-12,1681.5,229.71,19.61,Paid,Actual,No,Bank Transfer,
INV-10191,C038,GAS-VAR,2025-02-17,2025-03-12,2025-03-10,1049.9,72.4,0,Paid,Actual,No,Bank Transfer,
INV-10192,C021,EL-VAR,2024-01-12,2024-02-09,2024-02-01,1652.4,222.32,0,Paid,Actual,No,Card,
INV-10193,C044,EL-VAR,2024-05-11,2024-06-07,2024-06-30,498.4,55.82,14.17,Late,Estimated,No,Bank Transfer,
INV-10194,C055,DUAL-SAVE,2024-05-19,2024-06-14,2024-06-07,1702.7,208.42,0,Paid,Actual,No,Card,
INV-10195,C015,EL-VAR,2025-08-23,2025-09-14,2025-10-05,1224.3,165.81,0,Late,Estimated,No,Cash,
INV-10196,C056,EL-FIX12,2025-01-01,2025-01-30,2025-01-30,1003.8,151.06,0,Paid,Actual,No,Bank Transfer,
INV-10197,C026,GAS-FIX,2024-10-05,2024-10-29,2024-11-18,1555.2,98.65,15.57,Late,Actual,No,Card,
INV-10198,C016,EL-GREEN,2024-10-15,2024-11-12,2024-11-24,568,77.79,13.98,Late,Estimated,Yes,Direct Debit,
INV-10199,C002,EL-FIX12,2024-04-05,2024-04-26,,954,126.76,17.07,Overdue,Actual,No,Card,
INV-10200,C026,DUAL-SAVE,2024-09-20,2024-10-11,,1238.2,153.61,0,Overdue,Estimated,No,Cash,
INV-10201,C033,EL-VAR,2025-04-22,2025-05-19,2025-05-14,402.6,57.34,0,Paid,Actual,No,Web Banking,
INV-10202,C025,EL-FIX12,2025-11-19,2025-12-18,2025-12-14,406.8,51.91,12.57,Paid,Actual,No,Card,
INV-10203,C020,DUAL-SAVE,2024-11-25,2024-12-15,2024-12-08,888.1,112.3,0,Paid,Actual,No,Bank Transfer,
INV-10204,C007,EL-FIX12,2025-04-02,2025-04-26,2025-04-18,699.7,106.95,0,Paid,Actual,No,Card,
INV-10205,C033,EL-FIX12,2024-04-14,2024-05-07,2024-05-06,,112.19,0,Paid,Estimated,No,Web Banking,
INV-10206,C056,GAS-FIX,2024-01-07,2024-02-04,2024-01-31,1383.2,102,0,Paid,Actual,No,Web Banking,
INV-10207,C022,EL-FIX12,2025-09-22,2025-10-19,2025-10-14,1470,218.65,0,Paid,Actual,No,Card,
INV-10208,C023,DUAL-SAVE,2025-04-11,2025-05-01,2025-05-11,1008.5,126.5,0,Late,Actual,No,Card,
INV-10209,C024,EL-FIX12,2024-01-25,2024-02-22,2024-02-22,606.9,81.67,11.83,Paid,Actual,No,Bank Transfer,
INV-10210,C051,EL-GREEN,2025-01-24,2025-02-14,2025-02-10,306.6,52.3,0,Paid,Actual,No,Bank Transfer,
INV-10211,C040,EL-FIX12,2025-03-13,2025-04-08,2025-04-04,930.5,133.11,7.31,Paid,Actual,Yes,Web Banking,
INV-10212,C048,GAS-FIX,2025-01-21,2025-02-17,2025-03-04,7798.9,557.52,0,Late,Estimated,No,Cash,
